graph_id,prim_total_cost,kruskal_total_cost,prim_execution_time_ms,kruskal_execution_time_ms,prim_comparisons,prim_updates,prim_unions,prim_operations,kruskal_comparisons,kruskal_updates,kruskal_unions,kruskal_operations
small-1,626.000,626.000,0.135,0.050,32,21,0,53,47,12,5,64
small-2,1350.000,1350.000,0.128,0.052,107,62,0,169,218,28,11,257
small-3,2553.000,2553.000,0.142,0.100,186,105,0,291,390,66,17,473
small-4,2987.000,2987.000,0.114,0.091,226,127,0,353,547,62,23,632
small-5,3106.000,3106.000,0.181,0.152,278,156,0,434,711,70,29,810
medium-1,5599.000,5599.000,0.350,0.281,551,303,0,854,1246,248,44,1538
medium-2,7060.000,7060.000,0.524,0.397,724,399,0,1123,2056,238,69,2363
medium-3,12393.000,12393.000,0.381,0.266,1039,570,0,1609,2967,380,94,3441
medium-4,15688.000,15688.000,0.592,0.310,1296,711,0,2007,3877,462,119,4458
medium-5,20144.000,20144.000,0.540,0.378,1509,830,0,2339,4848,500,144,5492
medium-6,25101.000,25101.000,0.499,0.515,1974,1074,0,3048,6021,770,169,6960
medium-7,28311.000,28311.000,0.533,0.574,2251,1225,0,3476,6967,888,194,8049
medium-8,36849.000,36849.000,0.460,0.735,2896,1565,0,4461,8568,1284,229,10081
medium-9,40447.000,40447.000,0.736,0.850,3271,1767,0,5038,9935,1446,259,11640
medium-10,46882.000,46882.000,0.818,0.591,3317,1810,0,5127,11376,1222,299,12897
large-1,55223.000,55223.000,0.790,0.982,4181,2277,0,6458,14606,1578,369,16553
large-2,67084.000,67084.000,1.300,0.823,5196,2820,0,8016,17805,2120,439,20364
large-3,76891.000,76891.000,1.684,1.141,6544,3530,0,10074,21306,2980,509,24795
large-4,85517.000,85517.000,1.892,1.511,7293,3939,0,11232,24714,3238,579,28531
large-5,93919.000,93919.000,2.182,1.254,7717,4189,0,11906,27818,3180,649,31647
large-6,105127.000,105127.000,1.735,1.464,9200,4965,0,14165,31588,4170,719,36477
large-7,114651.000,114651.000,1.731,1.860,9457,5128,0,14585,34682,3942,789,39413
large-8,124359.000,124359.000,1.860,1.060,10632,5750,0,16382,38365,4622,859,43846
large-9,137298.000,137298.000,2.008,1.185,11011,5976,0,16987,41609,4514,929,47052
large-10,150271.000,150271.000,1.721,2.003,11302,6153,0,17455,44899,4308,999,50206
extralarge-1,193877.000,193877.000,2.262,1.792,16133,8719,0,24852,61183,7040,1299,69522
extralarge-2,243148.000,243148.000,2.141,2.279,20484,11070,0,31554,79755,8932,1649,90336
extralarge-3,294054.000,294054.000,2.620,3.796,26203,14104,0,40307,99492,12214,1999,113705
